ZTTime,A01     ,A03     ,A05     ,A07     ,A09     ,A11     ,B02     ,B04     ,B06     ,B08     ,B10     ,B12     ,C01     ,C03     ,C05     ,C07     ,C09     ,C11     ,D02     ,D04     ,D06     ,D08     ,D10     ,D12     ,E01     ,E03     ,E05     ,E07     ,E09     ,E11     ,F02     ,F04     ,F06     ,F08     ,F10     ,F12     ,G01     ,G03     ,G05     ,G07     ,G09     ,G11     ,H02     ,H04     
59,26010,39384,26890,47529,48782,39809,89437,39202,36500,40697,132214,26746,50490,71170,70114,35391,125979,120336,141176,132799,106325,109765,136763,91480,130095,80356,134956,124027,137956,219204,92072,119182,61581,113539,50938,46330,46649,49700,52092,58089,825037,699234,709918,815544
59.5,25220,39513,25949,48607,48372,38549,85565,39764,39490,40371,136399,28097,50262,64883,67123,35445,136908,120974,148597,135009,105558,110957,136604,87737,124596,72825,128105,121285,137067,213627,92581,121566,60579,106993,49632,45244,45404,51355,52547,59569,827775,710017,710740,854352
60,25198,38906,26298,47924,49913,37547,103492,38473,38299,40933,141343,29220,47969,68436,73660,36090,140310,118073,146227,133869,105657,106765,143751,90478,119637,73774,127217,122432,138039,218650,94973,121764,65810,105695,50247,48182,46914,53936,51849,58886,883351,714665,730143,903261
60.5,27300,43673,28818,51363,54027,41821,100326,41517,40470,44273,149250,28044,49898,70881,80516,45715,144389,124338,147450,139627,111314,114845,167427,99324,125075,82672,129981,129776,149531,239540,101085,125265,66781,110707,52312,49328,48630,56738,55257,63836,927500,748770,769312,891216
61,26480,42140,28507,56366,50809,39840,94380,42481,39946,41077,154195,30397,49541,74244,82672,44607,142437,125136,157355,147214,111420,114868,149052,100250,127156,81989,135100,128591,150685,227943,100539,125857,67237,111481,53731,51704,47932,57337,58461,68323,954763,747672,762849,912004
61.5,26412,40766,28310,50740,54900,39870,95292,41183,38344,42284,172859,28977,52114,77054,86476,41381,141723,139999,164411,147245,116000,113600,152227,99384,128591,82710,136072,138692,150632,225633,103075,128606,70084,119014,51378,51515,48364,58461,58742,71367,957434,747520,768741,986718
62,24697,38602,26837,46740,53640,43627,92095,38458,36583,39460,161373,27778,53716,72058,91055,40986,137113,126799,155478,137257,113038,111086,142293,100501,125348,79605,148004,123419,144526,213308,97456,124839,65058,107350,51568,49222,50201,54437,58446,65521,960304,747101,760569,944882
62.5,23869,39187,25774,46117,52919,39559,91366,40356,38534,37904,154286,26898,53686,74867,88807,39043,131401,140546,160363,140910,110532,112324,142528,94692,128234,81556,144586,128120,139148,213969,98883,128584,64899,109036,50824,46550,51439,58210,55386,69522,963082,750035,772095,1000304
63,22799,39111,25167,49510,54521,39923,96469,37540,37441,37441,150108,25099,51196,75019,85064,38526,126070,130421,150070,134902,108428,107798,136702,91518,120328,76279,132275,121202,135320,213992,88374,137462,65430,102346,48888,47947,52008,56563,53853,65574,960289,747352,747596,1017670
63.5,22124,37540,25471,47241,51871,39247,93781,36750,32234,35619,163135,23778,54445,76211,87456,36902,126153,123624,154255,129768,111998,104221,139832,90576,120161,73941,130232,120161,133216,209402,91966,134386,63236,107016,51727,52782,48508,54118,53002,63608,956770,758435,770174,1036313
64,21805,36818,23710,49161,52122,36849,95603,35710,34739,34989,167982,22116,49093,71602,84069,38139,125698,120617,147503,126480,104168,110388,137409,86666,119136,69029,123245,115134,129396,194024,86362,120192,60670,96188,48797,48167,46011,53488,52539,62902,965127,740950,761819,1095462
64.5,22116,38845,23262,45715,49245,37357,96104,36333,31444,32530,166903,21623,47840,77691,83462,39263,122272,117389,143531,125622,105687,110357,139847,86749,114974,68679,128614,115787,127695,191585,94229,119295,67791,91867,51241,50034,50938,53898,52479,63874,944607,743968,766393,1059395
65,21000,36371,22458,43923,50983,35908,92793,34344,32651,33175,174484,21607,45305,70608,78587,38678,115210,113866,146986,124657,100121,99096,141943,87987,109157,65392,119182,107616,123784,185112,81465,123169,62788,90508,64185,48273,51355,59182,52426,62735,975918,738801,735836,1092323
65.5,20864,36120,22382,43339,52828,34549,95535,33866,31710,31885,167929,20522,46656,74579,78003,40971,112142,114701,142330,133968,97190,102604,133778,84426,109575,65643,121088,102315,119485,183829,88230,118855,71382,88435,59858,47188,51849,57094,52069,64132,960868,733732,758808,1069001
66,20348,35346,22124,42033,56472,34830,94707,31877,31270,31968,175084,21122,45730,70114,82429,40978,110076,128751,147374,121490,93188,92414,131318,82961,105892,64155,114921,102763,112856,177250,74806,113197,63547,89749,59357,52221,59698,53678,49723,62166,983901,728459,736865,1017189
66.5,20332,43240,22283,39263,57352,34754,92512,31794,31247,31057,187878,21190,46649,72498,77388,38739,106993,114405,150389,118308,89946,87881,128682,80136,104419,62059,112954,102490,114321,180486,74336,116144,67563,88291,57869,46967,54210,54589,52372,71025,963799,718376,756743,1043804
67,19839,40189,21752,38215,50695,33517,90394,31725,28477,30215,174614,20393,45092,77372,76484,36963,104275,110069,145004,112073,89354,85269,124065,83052,97205,62788,110745,94616,110866,179574,71815,109795,67913,88951,54521,47871,54035,53192,58757,66728,964806,723170,710481,1024595
67.5,19816,37972,20947,42534,49769,35490,94456,30526,27680,29987,171400,19642,46808,77175,77805,36295,103280,103735,134333,120222,87866,82702,120974,88929,97562,70243,104130,97296,108254,184619,70464,111557,83067,83029,53078,46110,71367,53671,59592,65749,977918,703212,716661,1006877
68,18701,35870,19960,37373,48600,33327,92604,30108,26587,30936,169752,18799,47408,72779,76689,34837,102536,98078,150230,116318,85284,83067,113334,81890,96362,67085,108512,96476,123639,185059,71845,106583,75406,80242,52296,45647,67913,53154,58818,74700,964554,714436,708782,998602
68.5,19839,35452,19194,36219,50983,32279,91913,29721,26495,31277,169022,18480,46413,72035,79810,35786,100189,105429,148202,114177,85330,83743,114223,83720,100706,62036,104275,92604,129457,190795,68376,108284,73872,76401,51014,52729,66546,55014,56115,71633,935450,724770,711693,975162
69,18344,35991,19133,34556,53860,36059,88708,28879,28598,29220,177478,18655,48319,72825,78800,36576,96180,100880,138176,111215,87121,82323,118825,80903,106856,59835,110160,91617,121893,181375,67571,110828,69537,77577,50998,52076,65195,52038,55045,73797,932619,711655,694319,993175
69.5,18359,36272,18883,33319,54293,33372,90455,28492,25767,27968,167192,18063,45867,72741,74723,36211,96104,102490,138366,109947,81746,76750,112157,74586,102581,57823,110395,83993,121171,174667,70767,106135,66242,74708,51590,51530,66759,51423,53579,70699,943760,702572,683926,1004960
70,18116,35050,18701,34222,55227,31619,87501,27118,25319,26397,163188,17372,48121,78792,73819,35703,88822,97744,130748,102179,78701,75429,112089,78215,98557,56715,103356,85831,114830,168407,69788,107137,66349,69552,52183,51044,63980,58005,53124,70585,955634,706534,678197,994923
70.5,18146,34852,19194,32985,57360,31619,84525,27103,26207,29524,164495,17775,48030,73888,75345,33547,89969,92998,122850,100235,79476,71337,108937,73607,101518,54118,97213,83515,112932,179346,65787,108747,66493,68436,52334,50087,63403,58848,55849,72028,926973,688170,654199,999961
71,17608,32560,17858,32317,54126,30146,84555,27566,23482,26101,161722,17957,48288,68497,73144,32909,89217,90561,114876,98822,76454,74806,105042,71033,93333,54384,101283,80204,112825,173254,67905,99339,63593,67411,51962,48774,61816,61072,53929,82308,943836,712264,663912,994877
71.5,17350,32097,18450,34230,51355,32386,85884,26154,24264,25425,159542,19209,47727,68391,71056,32818,88063,88443,115392,98147,73979,80888,104252,69636,90614,53420,96507,77707,104594,167321,66440,98914,62036,68679,57041,49093,61050,56434,54354,77327,918199,698899,652013,995785
72,16720,31809,17805,34488,52585,30989,78580,25623,22495,26495,155319,18526,48964,67396,71557,30146,84692,84965,111511,93940,74199,76477,101321,66432,90052,52410,91943,76294,105436,152569,62150,99635,65278,65347,55280,46428,62659,52896,49981,71056,896327,692483,646505,1006021
72.5,15983,27968,16332,30579,46466,30792,73045,23998,20439,21797,145855,16059,47066,66683,67032,27292,75740,78975,99202,84160,65559,67518,91799,58673,79984,47628,84305,68839,94927,137188,57390,89574,59007,61422,52297,45115,54179,49283,68930,65476,821591,634935,602916,978383
73,15141,26245,15809,31201,44440,27285,71116,22647,19824,19695,136619,15467,45449,62484,71526,26655,69226,73827,94441,80478,61634,60905,88048,55827,75596,44508,79521,61315,91214,129768,53078,82338,56563,55918,47453,41935,56221,46497,52980,60617,796849,605337,563768,942905
73.5,14686,27125,14610,29076,42246,25782,67928,21759,17888,21774,132221,15687,43825,61406,65612,25516,64732,68505,89589,80599,60662,58780,82589,53663,72992,43142,76795,58476,86423,126017,50786,78914,51864,53336,47924,39733,54847,45184,50118,61490,795484,586147,536383,883122
74,14617,25638,15141,29782,43286,26852,68178,21539,18215,19839,136657,14959,41305,61680,68846,25569,67601,66986,90303,85026,61900,56373,81100,52296,71230,45533,75209,65142,87941,123465,48979,79681,53504,54096,46800,40227,51492,44728,48820,61482,804549,579393,529068,923456
74.5,14845,26526,15437,28864,43605,26222,73743,20818,17160,18966,133072,15209,43476,59129,67670,26708,65923,65506,89749,75801,56145,55546,81435,52205,73447,46360,71853,63881,86385,116387,48440,80364,57633,51386,46694,39771,52312,44053,48698,59205,791725,580938,522727,893855
75,14048,25668,14807,28606,40705,25850,68459,21706,18442,20644,132708,14966,44888,60017,68641,26678,65217,64215,90273,78519,55910,55029,79870,54847,70555,44812,73895,63365,85147,117799,49245,78997,57648,51036,47438,39255,53116,47081,47666,59949,794203,579469,520664,897356
75.5,14321,26556,14526,28408,41623,25623,70016,20985,17532,19983,134826,15293,42124,67624,67077,25949,63972,62439,86317,73470,55986,53481,80759,51052,73660,43817,72559,61497,84343,120928,46633,77319,57565,50239,51515,39581,51727,43688,46444,60230,787517,568535,506750,899302
76,14169,24689,14359,29866,40386,25425,69818,20279,17744,18200,130437,14784,44060,59729,66478,24742,61558,59964,83188,72620,53906,51241,79711,48660,69955,41145,73751,58058,82573,108208,42952,75581,56153,49860,52463,39202,51871,43574,45472,58673,780290,560137,492038,878218
76.5,13570,24325,14131,28074,47377,24112,67244,20955,18275,17979,132624,14936,41897,56654,85861,24628,65605,63084,79764,75543,54536,51750,79772,49290,70965,40857,71982,57778,81875,111732,43521,77661,53792,47560,50657,40090,51803,43028,45464,57876,775540,557997,490729,882100
77,14101,25577,14124,27960,43088,24370,66986,20310,17699,18564,133042,15285,40348,59637,70259,23854,61179,62181,73728,74282,54149,52221,77092,47226,71542,40523,75824,55887,81533,109924,43255,77160,53329,47059,49609,39574,51120,42975,45100,58423,772278,549181,485889,908716
77.5,13691,24082,14162,27915,40644,23717,64261,19976,16560,18556,125903,14147,38329,54999,64891,23930,59903,59235,68930,69507,53109,50277,76932,52555,71731,40485,75474,53337,81154,105209,41957,73364,51203,46064,50179,38914,50087,42003,44629,56236,742520,538477,482152,892139
78,13957,23179,13585,26867,39551,23626,66182,19892,16644,17061,130224,14321,38337,57740,66447,23384,59858,57664,69408,68953,52463,49093,74768,49480,66485,40439,75391,55978,84016,107024,40280,73842,51105,45396,50922,39210,46231,41555,45829,56624,747558,529844,484366,862307
78.5,13304,22526,13987,26632,38132,22981,64830,19535,16173,17175,138502,13873,49321,57428,63912,23171,59258,60154,64504,73402,50057,48091,74009,48805,65400,39285,72513,53025,81533,103713,38876,71359,49184,42428,48045,38746,44417,42906,43840,54726,744113,521791,470166,841280
79,13008,23315,13585,26875,39354,22382,62067,19217,15536,17084,132632,13684,46550,55029,61702,24340,56867,58453,62963,70213,50740,46793,74146,49943,67282,39270,71625,50171,78845,103925,38762,70782,53374,43559,47666,37995,44758,43415,43908,54043,731027,509064,463257,845055
79.5,12735,24082,12652,26260,37987,21448,61186,18321,16568,16917,137606,13061,42284,54749,60761,22556,56031,55758,59736,70547,50194,46945,73090,48744,63927,38701,72286,50725,76568,99589,40174,71299,51515,41585,49700,37555,43134,41100,43362,57003,721744,500836,454932,847694
80,12545,22283,12356,25069,37046,22222,58081,18989,15186,16067,133809,12955,42360,55257,60169,22412,56077,57018,59288,68938,48030,45252,72369,47582,65901,34997,68831,48038,76370,98746,37077,69112,48721,40819,51416,37623,41980,40971,42466,54604,738526,488856,437691,842134
80.5,11900,21160,12538,26260,35050,21289,57527,18071,15194,17274,128075,13023,39764,51439,59174,22306,54673,54521,57580,64921,46466,46307,78086,46140,63676,34997,66182,48577,73440,96074,34974,67465,47818,40166,50163,36242,40363,39483,41919,51758,724450,477068,431886,864953
81,11672,20560,11976,24469,36348,20704,56024,18291,14868,15900,132290,12750,41593,52008,58195,22731,53291,54581,56608,64056,45791,43514,72141,47294,62036,34352,64754,48858,73106,95504,34716,67381,46823,38762,48508,36143,39187,38466,41289,49989,713789,471916,426111,856350
81.5,11832,20773,11688,24552,37395,21934,56457,18131,14594,17266,142239,13054,39612,50793,56586,21213,52388,52714,55705,64770,45912,43908,68854,46671,62993,34481,62856,45578,71132,94768,34169,64724,46618,46725,48319,41365,38534,38261,41487,50406,705398,474397,417986,831595
82,11247,19847,12105,24606,36811,23573,54384,16879,14617,15331,134864,12674,37805,48478,55007,20886,52205,51484,53557,61118,44409,42572,67487,48152,61429,32978,62826,47635,69378,89232,33372,63456,43088,41532,47719,39862,37760,37684,40196,49116,693390,463089,403951,798831
82.5,11103,19186,11331,23611,35361,21592,54642,16165,14124,15801,129632,12560,39422,53359,54073,20181,52486,51021,52760,60275,45244,41115,66394,46800,61452,32697,62613,45077,68262,87357,33388,68315,43923,41289,48197,39619,37623,36348,39384,48820,681999,457595,403388,777797
83,10769,19255,11574,23050,34154,21311,53299,16841,13297,15877,128113,12234,36219,52092,52668,20218,51021,49465,52198,57967,44827,43309,64542,45958,60169,30890,60731,44371,66220,86666,32241,66462,41722,39923,49958,39384,36591,35316,40151,49867,682563,446905,389735,778628
83.5,11027,19384,11080,22503,35414,19976,53428,16735,14572,13532,125789,11824,35938,49981,51211,20044,52615,47453,50285,58514,45844,42747,63373,45685,59319,31414,59068,41631,65726,86074,32021,63729,42792,39574,49359,40272,36348,35741,38853,49252,663196,440164,388601,788706
84,10329,19695,11073,23050,36500,22662,54005,16492,13722,14374,131720,14018,35832,46945,53701,20780,51424,48455,53420,61930,45981,44022,64443,46406,60571,32135,63327,44736,67746,90652,31596,65870,42276,43088,50361,41016,36530,34792,40515,50095,674319,450176,388046,782196
84.5,10845,19391,11323,23847,38617,23103,59152,16651,15703,14427,139459,14557,43476,48645,57307,21532,53663,51758,54339,62583,49047,43954,67829,47271,66174,33555,65050,45146,70706,99810,33289,69606,47476,42405,53207,42360,37266,36052,41950,48782,711800,472152,400368,783697
85,10488,19930,11794,23755,40978,21585,60070,18541,14534,18222,138913,13312,38936,48402,56745,20423,58005,53397,55986,63061,48842,44015,71397,49541,63889,33555,63502,45950,69628,97668,33334,68968,49184,43923,52775,42846,38678,37782,41654,47780,712676,468941,400528,803604
85.5,10314,20613,11209,23535,40394,21114,60822,16613,13539,15057,142824,12940,38769,48038,56737,21076,55622,52145,56829,61406,49738,45973,71359,49146,67169,33312,66485,45275,69978,96772,33873,69249,48023,42367,51879,42982,37889,37266,42322,47818,711815,461446,418991,788531
86,9608,19270,10898,22875,41844,20218,57603,17380,13653,14465,133885,12917,39771,46482,57330,21114,53906,53762,54832,60435,50626,43514,70031,48979,65794,32871,65407,44257,68581,96491,33858,69856,46990,41001,50156,43157,39445,36689,41593,47036,708934,449187,415719,767353
86.5,9297,18913,10511,21850,41441,19596,62150,14989,12765,14033,134978,12826,38109,48030,55022,21137,53473,52927,52114,57869,47203,42557,67624,46284,63312,32431,59827,43643,66106,87941,32591,66478,44918,38595,49533,42109,36758,34632,40712,46064,684947,446037,394527,766019
87,9115,17608,10109,21053,44052,19308,60351,14564,12348,13145,132244,11930,38678,47666,54331,20067,52175,50277,58127,59379,45973,41441,64656,45662,65217,32393,61376,42162,65430,86400,32150,81867,43582,39232,46595,42185,35930,33949,39551,44895,666746,436511,384312,756400
87.5,9100,17706,9760,20507,42003,18511,57937,14139,11657,13031,127232,12257,37486,49351,52016,19285,50012,48440,56366,59858,45373,38868,62742,55713,60313,32052,58666,40523,68133,81738,29949,76780,45814,37532,47036,41570,33183,32811,38504,44591,656736,424111,364180,741590
88,8265,16993,9509,20279,40105,19057,58370,14071,11695,12606,122759,11301,37251,48007,52661,19330,49131,47552,54407,60397,43468,38838,61209,42512,60161,30359,56525,42398,62135,82778,31164,69272,43369,37251,46003,41487,33494,33479,38579,44645,647724,415065,362362,750836
88.5,8485,16537,9555,19497,37122,18549,55880,13426,11619,12477,122637,11376,35369,46231,51849,18184,48114,45206,50733,56464,42140,38124,60936,38868,57800,30587,56639,41343,60457,79536,28492,68057,41563,38792,45472,40880,31702,33107,39058,43066,628810,403594,348468,728451
89,8455,16393,9100,20446,36758,18389,55622,13046,10967,12705,117382,10815,37001,47833,49397,17304,46292,43870,48417,55409,42489,38132,60237,40356,59228,28644,56624,41107,58992,78018,28530,67601,40409,40986,44614,40310,32014,33911,38845,44250,615581,396101,341389,699158
89.5,8113,15642,9092,18238,36067,17107,55918,13039,11915,11877,128158,10003,35315,46899,49890,17114,46527,43384,47522,55143,41168,37881,58225,37137,56965,28401,54399,40287,58582,78785,27733,67077,39172,40310,46383,39878,31308,35004,38830,43878,615627,384159,338925,697063
90,7847,15930,8758,17881,35156,17137,51446,13312,11012,14997,124665,9851,34245,43878,48106,16325,46656,45586,45009,55189,39247,35665,55705,34359,59767,28158,53746,38079,57368,77380,26488,60495,37737,39005,46011,39969,30602,33061,37942,42747,592483,382258,325452,666838
90.5,7293,15019,8971,18427,33539,17145,49306,12454,11065,14594,128819,9221,32499,41745,45958,16613,43514,43225,43673,51545,38511,36484,55751,33752,57641,27505,52873,38625,56472,74563,25668,60700,36887,38929,44637,40075,29653,33873,39156,43491,594318,370462,319095,673847
91,7369,15027,8439,17334,32818,16029,50315,12507,10982,11096,128530,9684,33813,42178,44311,16462,43832,42542,42846,48979,38435,36765,54452,36067,54764,26936,53762,36120,55880,71443,26913,57800,36826,43650,43384,40363,30465,34010,38549,42656,581662,357556,318875,655631
91.5,7271,14921,8394,17281,33577,17190,52843,12485,11650,11771,122591,8682,33441,41844,43665,15680,42876,40606,40371,48880,38382,35604,52934,36439,52471,26420,50019,37183,53929,68907,25410,59896,36166,40963,43157,40917,29835,33296,38215,45085,575639,358370,311690,640937
92,7225,14488,8280,16818,32044,15885,50368,11399,10261,10572,122850,8743,32310,44197,42716,15065,42269,39263,40568,46125,39862,35179,54278,33661,51909,26351,51097,36333,52517,68603,24757,57178,35513,40826,43134,39915,30776,33205,38291,44470,557426,347662,311743,617287
92.5,6899,13684,8022,15786,34382,15414,48896,11164,9638,11096,116767,9031,36059,40386,42466,14928,40659,37570,37547,46102,36560,34222,56358,34982,49958,25478,48152,36242,57853,68702,24939,53936,35642,40363,43840,39878,31346,33319,37608,43999,558127,345579,315476,616716
93,6929,13084,8288,15839,32682,14632,52706,10504,9684,10359,118058,8022,35923,40910,40606,14678,39991,37380,38223,44189,36067,34921,53390,31209,49321,25258,49989,33843,54703,68421,23687,55743,35384,40561,43961,39088,29410,33258,36401,44212,532722,338750,307007,606723
93.5,6550,13471,7817,15050,32279,16112,46489,10397,9434,10170,113926,8781,37175,38124,39414,14443,38944,36280,36894,41335,34465,31983,54187,30602,45669,24780,46884,32332,52221,66022,23361,51879,34875,42921,42876,38170,27573,32644,36340,42390,527195,330394,301024,571367
94,6747,13577,7605,15042,32211,15847,50087,10701,10261,9601,113273,8629,36393,37547,39384,14154,40174,36894,36135,39999,33167,32522,51477,30033,48417,23793,45662,32613,49981,64041,22139,48964,35779,42003,41995,37896,28742,33251,37775,41411,522521,320715,293771,583451
94.5,6383,15156,7513,15224,32143,15945,49875,10466,10610,9714,109947,8227,35498,36720,37433,13251,37327,35338,35536,39073,32689,33107,49708,30177,45791,24469,45958,32074,52334,62226,22594,49541,34655,39172,41859,37828,30268,33919,36864,42679,510518,311249,289704,565154
95,6003,13289,7187,14405,30875,15672,51150,10063,9213,8758,106788,9638,39528,35794,35839,13114,37312,35278,33995,38139,32082,31148,49230,28249,44356,23680,50740,30511,47901,62090,22010,46922,34154,38784,41669,38208,29000,31528,37813,42512,502335,301906,280111,555591
95.5,7043,15444,7278,14427,29175,14761,49419,9730,9115,8781,108299,8751,37077,36553,35422,12993,37342,34078,32849,38056,32272,30412,48789,28613,45563,23186,52395,30420,48896,59660,20704,45631,33630,38086,42815,40659,28636,32887,38329,42656,491863,297169,275512,547536
96,5996,14314,6952,13873,28651,13782,49404,9297,9153,9297,107753,8166,34276,34822,33813,12173,38534,31710,32401,37061,31376,29296,46466,28697,43407,23444,51325,29182,44979,56867,21668,44022,32553,36841,42739,38063,28530,32340,37054,50581,475737,289879,268436,539109
96.5,5935,13760,7013,13820,29759,14283,48174,9236,8948,8728,100850,8189,32446,34321,33433,12697,36955,30708,31619,36803,29759,28879,46019,28514,43658,22495,49070,29456,45373,58544,20234,43825,32401,34222,42147,36963,28552,31976,37008,46854,474838,282589,266619,523602
97,5563,13562,6800,13934,27824,13911,46315,9062,8834,8386,100652,7771,30928,33296,32021,12340,36173,29532,31361,37441,29607,28256,45366,26700,41631,21812,47051,29683,46558,56419,20310,42140,35308,32887,41790,38595,28514,31551,35961,44151,463576,284284,259824,519241
97.5,5601,13001,6762,14094,28477,13312,46421,8955,7878,8576,98762,7718,29296,32348,33107,11748,36811,29941,29774,34268,28310,27452,44364,25729,40447,21744,45912,28105,46163,54741,20955,41062,32917,43134,42147,36606,28355,31938,35703,42717,458417,282954,255104,514620
98,5434,13198,6838,13365,28006,13631,46383,9464,9092,8470,99286,7825,32613,32431,33494,11794,35779,28902,29554,34055,29676,26458,43483,25334,39308,22253,54847,27528,44645,53329,21038,41320,34230,39642,41426,35763,27277,31786,35756,44941,441944,282536,249435,504809
98.5,5161,13031,6610,12932,26685,12591,46186,9320,7954,8591,96461,7559,29562,32363,33243,11642,35892,27270,29387,31900,29296,27809,42883,24689,38754,22040,53177,26943,42618,53534,21053,40720,34002,38762,41677,36272,26761,32545,35779,43893,435051,273924,247785,504466
99,5199,11877,6671,12796,25645,12636,45753,8887,7809,7627,93803,7711,29220,34465,34632,11232,34777,28165,27930,32150,29031,26875,41047,24036,38951,21015,48235,27368,40614,50361,19960,40743,32689,36849,40614,35612,26078,31991,34852,46125,429596,264711,240307,496612
99.5,4865,12697,6557,12249,25266,11786,43217,8477,7665,9009,91518,7407,29008,31338,32143,10640,34230,28347,27626,32196,27801,25752,40067,23550,36583,20681,46094,25289,40045,47598,18822,37745,32014,35384,39407,35019,25456,31437,34359,44273,421258,256997,237655,476977
100,4888,11551,6830,12363,27566,11612,46132,8174,8212,8591,90523,7202,27801,31126,31611,10883,33949,28545,27710,30496,25774,25782,40029,23163,37426,21129,45556,25023,39149,48501,18549,36310,31725,32962,38701,35080,27611,32241,35376,44265,416845,253463,232107,472746
100.5,4910,11672,6443,12006,25516,11437,43210,8105,7878,8394,89346,6891,27338,29327,30435,10709,32628,27406,26359,29099,26336,25000,38299,23505,36917,20044,46573,24416,37289,46163,18139,34291,31186,31642,40318,35687,29926,31353,34465,42352,400384,245749,225838,445170
101,4637,11301,6588,11635,24583,11642,53838,8083,7362,8030,88321,7164,26245,28727,29236,10625,33911,28135,25934,30124,35019,27976,38504,22488,35551,20583,44219,26055,36803,47317,18625,34966,31551,31710,39293,35976,28674,32598,34374,42754,405906,241858,221188,453197
101.5,4888,10860,6147,12416,24014,10860,48979,7809,7468,7521,88382,6967,25144,28674,29213,10618,32135,25516,26503,29896,25896,29061,37152,22533,35520,20902,47195,23938,36636,47438,17494,39247,31702,31611,38822,35672,27065,32143,34222,41206,384973,235033,220162,444698
102,4698,10246,5965,11278,23171,10731,47370,7574,7362,11862,85238,6557,24029,26723,27604,10056,31900,24180,24712,28848,25114,26829,35247,23285,34185,19824,45571,23854,34352,46201,16332,38116,30746,30792,39718,34010,28757,31551,33797,40462,382691,225777,214881,430699
102.5,4622,10989,5540,11035,23649,10473,44523,7802,7013,11756,82148,6474,23399,31186,26662,9889,30306,25607,23740,27922,24530,25820,35801,22359,33539,19687,43271,23634,33585,46413,15748,36712,31338,31262,38147,34837,29099,31285,34329,41062,386076,222745,205619,433636
103,4296,10557,5586,10701,23262,9866,42026,7263,7491,11346,81837,6178,22594,28363,29053,9342,28697,24287,24401,26875,23368,23816,34640,21091,33775,18966,42671,22078,32955,53132,16234,36044,30708,31801,38989,34754,29091,32052,33949,40720,369245,216226,202777,426560
103.5,4356,9995,5517,11900,22177,10177,41768,7104,7255,10701,83690,5851,23125,29858,26685,9699,28036,22495,22594,25532,22526,23953,34177,21053,33767,18731,42754,21850,32158,46671,15551,34071,30693,31725,37965,34519,28188,31505,34298,40879,378539,213658,196866,412471
104,4311,10230,5502,10549,21820,9881,39938,7073,7035,9342,79088,6018,22427,29349,25744,9517,31232,21873,23050,25433,22108,23239,33365,20856,33167,18359,41965,21509,31589,41183,14359,33813,30708,31558,38898,33972,29615,31877,33638,40500,356567,211424,195468,409352
104.5,4113,9950,5677,10488,22754,9676,40060,6899,6565,9403,78868,5548,23930,28537,25615,9282,29114,22708,22731,25676,21972,23695,33008,20234,33213,18488,43164,20477,30769,37995,14716,33198,30200,31551,39908,34222,29562,32203,33646,41396,356476,206667,194229,393812
105,4288,9434,5305,10534,21661,9509,37479,6975,7073,8234,75338,5343,21084,28446,24082,8948,28735,22503,21858,24454,22647,21691,32287,19786,32348,18192,39179,19869,29623,37828,14716,31217,28970,32962,39946,32773,28522,33334,32651,40637,359396,208384,190309,402384
105.5,4121,8864,5388,10701,21759,9441,36636,6868,6443,8417,74222,5487,20416,26829,25061,9153,25562,21539,21046,23300,21069,21053,32294,20059,30860,18200,39149,20021,29069,35407,14063,30966,29349,34815,40462,33160,28044,32477,32811,40120,353419,198081,184186,391857
106,4045,8849,5290,11946,21129,9122,36818,6459,6542,6292,80425,5533,19194,26116,24310,8561,25926,21486,20575,27809,20575,20666,30427,20659,37798,18663,36796,19118,28681,34222,13828,30716,29403,32348,38086,33266,27429,31923,32697,40925,337397,195065,183327,386107
106.5,4151,8849,5328,10185,20446,8690,35346,6777,7278,6367,78306,5358,19042,25524,25494,8500,26230,20127,20507,26169,20279,20014,30200,20074,38693,18518,36242,19558,27892,33699,14686,29220,29577,31794,38891,32833,28234,33888,32811,41555,333785,189846,179445,377512
107,3886,8682,5472,9441,20477,8599,34868,6367,6125,6739,75049,4865,18822,24704,23505,8394,25372,19095,20120,25311,20864,19133,29881,20294,35908,18162,32955,18033,29486,31072,13524,29805,28962,30382,37904,33403,26564,32257,33873,41494,333793,185796,176406,372743
107.5,3711,8174,4895,9509,19626,8492,33016,6345,6216,5783,71952,4667,17820,23998,24256,8500,23862,19232,19065,23786,19968,19406,29084,19444,33486,17676,31892,18693,26958,31103,12705,28765,29904,30184,37714,34018,26647,33289,32841,38025,328713,185735,171461,363708
108,3726,7999,5184,9509,18997,8326,32659,6276,6770,5707,69773,4759,18108,23695,22662,8713,24279,18807,19543,23642,19558,18845,28120,18936,33380,17016,33312,18427,26898,30989,12803,28416,29987,29129,37145,32818,25896,32537,33061,41449,319255,182157,170094,368036
108.5,3734,8113,4834,9305,18640,7976,30526,5912,6117,5738,71413,4789,16947,22928,21380,8014,22966,18890,18329,23110,18845,18351,27346,18450,37593,17243,31194,17721,25425,30283,12242,27733,29790,28439,37069,32985,25099,31824,32909,40310,311910,177052,166113,357716
109,3605,7665,4850,9259,18222,7916,29964,5707,5510,6246,65438,4804,16591,23141,21736,8105,23292,18116,18503,22473,18822,17342,26837,17828,30981,16962,32796,16947,24856,29638,12553,26230,28841,28530,36409,32492,24970,32279,33334,40341,304536,173223,162391,344932
