ZTTime,A01     ,A03     ,A05     ,A07     ,A09     ,A11     ,B02     ,B04     ,B06     ,B08     ,B10     ,B12     ,C01     ,C03     ,C05     ,C07     ,C09     ,C11     ,D02     ,D04     ,D06     ,D08     ,D10     ,D12     ,E01     ,E03     ,E05     ,E07     ,E09     ,E11     ,F02     ,F04     ,F06     ,F08     ,F10     ,F12     ,G01     ,G03     ,G05     ,G07     ,G09     ,G11     ,H02     ,H04     
22.5,76788,178609,110942,191836,215329,134287,243598,131204,212480,242572,329892,151286,213825,201227,208757,175738,597851,518205,484184,474983,398832,355830,526419,348430,681633,225929,572883,687378,617416,746400,446090,488354,128902,112377,123533,144100,101928,154134,145665,197777,1022869,809368,906763,1579995
23,78109,163978,107380,185546,197808,124103,240520,125477,206249,236887,320236,148521,207602,190142,188721,170982,552066,491589,475227,456576,390374,355799,563136,355556,651982,230367,559345,679523,616609,757490,434746,465623,125766,108763,121012,135130,94616,149501,146842,188767,997572,738984,879110,1548029
23.5,77684,179172,104943,180281,195308,124566,235763,130262,194495,242329,307592,138510,204114,194632,186290,162999,550650,477601,467411,457268,380516,361807,519507,339412,648250,232989,532973,718094,605322,751644,451013,483803,116554,99567,118977,136938,91541,135791,144867,178093,980200,740325,848083,1494605
24,71253,168392,96203,169790,181154,117177,227449,118984,181876,212282,287006,137963,183152,175259,171841,151756,539832,457154,439152,436078,361670,334492,491977,331238,592909,221446,502023,639634,563685,731408,410790,475638,108383,105338,117822,126890,88048,120503,137538,172205,921564,731835,819303,1404515
24.5,67024,149136,88648,168392,177037,109241,222989,115582,173269,193735,276022,131751,169076,165931,180691,143242,478857,409383,416838,402658,339115,314800,455632,294007,573042,206903,449461,553970,511058,648044,382494,402651,102627,93067,116106,121612,76188,111762,127399,158373,882344,689473,774534,1367878
25,60662,144085,80865,149941,159671,94115,186055,106948,158091,171362,254838,119888,154096,147138,150708,133406,440338,376926,373154,373846,318327,290996,417652,270594,535211,182598,410098,504170,502822,622870,346461,385460,95276,86484,105186,112134,69849,102452,113061,148354,850035,660118,727254,1278113
25.5,59129,132472,80212,146979,147450,93105,190780,102323,161753,167207,249283,110388,143774,148103,142946,125075,414168,377588,366324,357396,309645,276979,408957,261914,577718,176049,417089,484298,478826,621537,338522,379162,90014,86825,101230,109044,65422,94509,108428,139794,842242,609732,719794,1227852
26,59349,126282,75884,145726,147245,91047,177835,100713,154157,158403,240566,104411,132761,142133,140166,124353,406865,360780,344902,337929,301784,263374,398771,260288,548686,173785,424925,451698,480371,603274,328341,353206,85451,83568,101101,102672,64337,95793,105436,129206,863069,609557,687789,1214271
26.5,56176,120488,75998,141913,130589,87964,176027,98207,157940,155889,226537,102414,131523,142604,138480,117397,412973,383406,342339,349601,300484,258669,389491,257711,548016,176011,425077,452079,491520,587457,339016,359541,82209,79992,90409,104434,62135,94965,105474,122964,798381,597166,681641,1193797
27,56517,123252,72278,138100,140432,90667,170078,93302,142642,154969,224303,99217,121498,131409,134804,110881,404986,381300,327938,353023,289970,258167,387285,253060,510289,165931,409816,442134,453235,577375,320814,359442,82627,80121,88686,97942,58552,86954,100706,118650,788135,572433,642453,1149887
27.5,59045,118096,71299,133285,132685,86127,165665,90956,140735,151194,208878,99787,112134,131097,126920,104950,392709,370804,331717,331884,290411,252634,368264,242838,511187,162900,419386,445238,446768,562086,320646,350932,75330,76849,82551,100660,59789,82718,99217,115703,765364,554236,643542,1137434
28,51264,111762,67890,129153,130345,85368,162588,89658,134948,143432,206530,92140,113691,130216,126100,99840,380927,332082,327428,332759,280658,250620,379086,238939,489214,159459,395021,424712,437189,556406,309394,337374,71481,75034,79187,98306,52137,82437,93484,112529,735805,545199,596130,1050881
28.5,55386,117891,72544,128037,127725,87941,164465,91594,138343,143029,203066,87888,114086,131173,123358,107525,385201,367830,347602,332789,270739,246395,368081,236241,488118,163492,400254,418800,430455,548838,304946,348750,70615,71997,78215,96476,55196,82778,92072,113767,718346,542428,598727,1104291
29,53374,107828,64640,122994,125515,79582,148338,85975,136961,128295,189215,83910,106082,123723,121156,99362,364309,337017,309173,321011,275512,246311,349769,228505,465722,157651,374356,403822,418374,547026,293726,337549,68862,76105,75353,94092,49108,78587,86165,108990,721828,527424,585462,1059700
29.5,56540,112081,65195,119789,119979,79703,155365,85284,131705,131249,194290,80402,102596,126890,116243,99931,361876,325573,320007,322669,273399,234722,348651,231636,454217,159314,370005,404932,420664,530111,291232,346704,67343,73462,71716,85664,48964,77502,85216,104761,685778,513722,581494,1090116
30,55447,109757,64268,117442,118658,80083,150078,87099,131819,127209,191304,85831,100728,119235,118893,93052,352788,339290,311736,324395,269720,260181,342507,227958,438878,157028,379238,385490,406500,519499,292479,325581,62507,70122,70213,85375,46816,73409,82391,96628,701520,492540,568649,1025251
30.5,54809,103978,60579,116820,116531,75307,140978,82961,124862,119501,183494,79096,101898,116341,117420,94570,342780,328949,312701,318631,276310,264848,322266,240307,452938,155266,360354,381406,405526,533696,278583,324638,60290,66387,69993,78253,46466,71420,78314,97630,679683,493309,563875,1017701
31,50824,95724,58833,109856,108026,77274,137659,80015,119683,128158,182947,79719,95064,114701,115088,90751,342271,320699,292912,306535,249815,248538,318571,234402,422848,153739,353328,403092,389430,499078,268626,319171,60974,65195,63714,76241,45829,67685,75125,93257,658145,491307,545435,982688
31.5,48516,96666,61239,116379,114526,77084,135480,83477,123374,119660,175844,76089,95208,108421,112871,90918,336119,301054,281046,307387,245688,259703,311226,237328,425777,147700,352027,387255,368971,487662,282262,303403,55789,61141,63175,73804,45222,67191,75110,85899,638141,482167,532996,999312
32,53731,92497,58719,109598,106295,74176,130786,84737,113607,109917,163781,74761,94646,106059,102414,90181,329618,307060,283874,309508,234060,248401,304673,230223,405975,150746,336431,372690,377025,475607,259437,292760,55956,61368,59911,73075,43195,64694,67677,84950,637684,462458,527789,962105
32.5,51507,93181,54020,110107,102164,78542,128204,77965,120549,113456,161046,76143,91715,112081,102126,84175,324896,298408,270929,301183,228316,239882,297648,228574,401327,148946,343913,362674,366994,477236,260037,304817,54414,59759,59668,68049,41092,65916,72901,85375,620531,460411,510761,921282
33,49936,91601,62021,105307,104518,76029,129191,78830,116691,110258,162801,73015,88815,103044,99923,87949,375352,296683,272221,285934,250597,240368,294539,227411,383368,143348,317673,382760,350392,463257,252338,291035,50687,57573,57960,67677,41016,58438,65058,78800,619724,457770,509414,907083
33.5,48979,88936,61976,105778,99870,75520,125204,75535,115878,104518,154962,69241,88891,100136,96674,87121,357738,287370,268603,280468,244669,236796,286093,211940,382190,146736,312283,364971,345488,453372,247550,293346,49343,58195,55781,64511,40143,58757,62955,79255,573888,457329,498089,900828
34,56411,84654,56198,101602,100577,75763,119144,83545,112081,112833,150146,70570,87524,101450,101306,82543,303532,279974,268877,277466,229493,227814,281152,212700,374188,136900,305707,345100,336385,457907,236538,293414,47985,60860,54263,61771,37790,56183,63532,76720,581426,441084,481368,891185
34.5,49412,88572,58438,102741,95405,72574,119713,78390,110995,106803,152501,69370,83712,98800,98078,83993,309561,271119,266315,273278,224676,227548,282908,205998,375998,139080,307851,346795,347853,439144,277504,285090,46937,56904,51803,60594,37350,56775,58339,71959,589597,419668,461012,856625
35,50186,82945,52934,93386,97699,69735,115308,73508,101374,99984,143098,66645,78747,95854,92034,81381,291513,280179,250362,271043,218976,224934,272692,200391,348408,148057,288146,332994,321969,431779,249397,278841,44030,61125,51651,56821,34921,55234,57535,71777,554236,417484,453562,877737
35.5,47985,81708,54179,96962,92619,68945,115384,74434,100372,94335,143827,65233,82315,98276,94122,76871,294128,272206,247846,265494,213650,213414,266999,209197,340324,145012,286983,320760,306391,447978,240877,280263,43620,60093,46952,56510,32530,52668,55864,67351,550034,412981,463804,809284
36,48083,87053,53792,98914,91206,72233,119865,72460,104062,92467,141829,69962,82543,97425,92452,79066,282931,276409,257544,252832,208004,206887,267645,199381,332196,146280,291818,325847,308299,426302,234592,277656,45199,58248,48835,54088,34018,53951,53633,66303,548595,419774,447841,822880
36.5,51879,95079,57732,100911,100994,78519,120784,76279,113866,102186,157917,75368,80690,103599,102133,82141,309789,285067,268428,286831,219964,228741,288093,213855,371253,147161,295056,342355,332994,505015,257810,286595,44227,58666,50968,56092,36621,55379,56563,70228,574276,423045,482137,834448
37,50566,85261,59926,102308,102179,77934,123996,77707,118422,105467,152987,74958,82771,103591,99840,85557,307972,283889,280506,280407,245255,221172,283402,213870,342651,149128,294014,346005,353434,473385,247991,295755,48812,61391,49693,56472,33365,54149,57641,72210,565025,425244,477380,834325
37.5,48197,94449,56123,100706,102019,79665,122698,76325,114519,99445,152182,70760,84768,111762,99483,84958,321445,299146,279077,279222,249495,235588,293399,214676,358522,151559,305897,346446,343663,465593,260820,296059,48592,70031,47438,53534,32127,56980,58172,75953,545519,422696,464444,823604
38,44614,88868,57489,99923,98860,73979,112339,70524,108071,98990,150442,69552,86605,98063,97243,80167,304239,277002,277413,288708,241364,225922,275809,211560,333907,168430,319475,328995,337800,476604,241858,286124,44318,64322,46322,52418,31566,50733,53056,70691,535074,426522,440803,826173
38.5,45191,84639,54210,96096,94942,72840,115605,67692,109712,99536,144677,79863,77266,99050,94494,80205,296926,289963,269728,273901,244107,234927,273072,206485,323566,163439,301639,324090,330074,473073,234889,291270,44098,66470,48433,52228,29638,52076,51196,67541,518380,393310,438954,795575
39,39468,80660,54278,109044,94601,73538,111238,71375,100797,100759,142444,71731,73242,99407,88283,76203,295025,287279,260584,284413,228369,227214,273536,211180,312853,159079,307318,309995,314305,460548,222707,275322,42997,69097,54278,52577,30184,47901,52851,62416,530065,410219,452079,783652
39.5,44850,81078,55098,101867,94851,67973,109552,70737,97646,89050,140303,64732,73242,99058,88572,75490,291544,269713,259019,273931,240148,227077,280225,199677,308976,160203,294410,304528,330204,451683,231948,274387,41669,67449,49617,50141,28689,48349,48842,63198,495881,408317,442317,777767
40,41320,76962,48842,93128,86370,67282,105657,69575,92064,97046,135943,58112,69628,93591,86825,73516,268276,251228,246015,257840,226978,223308,261701,196744,297815,151050,290115,306513,328713,437759,217039,264354,40189,69363,47317,48865,28666,45669,46140,59250,496490,413567,447711,762002
40.5,40090,79984,50201,96089,86719,61649,103682,68193,92254,83462,134242,58339,67989,95747,82209,75581,279290,252794,249921,261542,210990,235246,260622,202686,290540,148521,289149,300385,302909,469314,212214,251905,40697,75391,47089,49951,27718,46466,47317,61300,495486,416556,446220,751323
41,41411,74207,47863,95155,82239,60571,100174,75679,88625,81541,131644,63775,64063,89756,80645,74784,258388,255940,241196,242276,238316,220283,258676,207412,283646,143250,269431,286793,300955,436945,206659,247892,53519,74548,45328,49040,27945,46618,48577,59797,483065,423144,451105,716441
41.5,41851,70327,49936,91472,81996,60495,97820,72726,85907,88693,126913,55918,65066,90660,78967,72605,257673,241516,243279,246030,236857,234250,247215,200467,277679,140621,272814,281274,293125,424506,203643,241120,45874,77084,45707,47840,27717,44136,45783,55371,476741,418504,432449,716220
42,39635,74541,48736,91548,80850,61209,95398,72567,83629,108148,126206,54506,60670,89809,79415,70805,273042,244586,234517,239623,228954,207723,261816,186108,268238,141092,253896,265943,286914,398543,200885,236173,48463,85922,50740,47560,30776,43567,48182,57375,465045,508592,459163,723879
42.5,40925,73827,49359,84555,79263,58726,93052,75011,82399,78754,122933,54802,60852,89961,74123,68755,275543,236667,229470,231621,214250,210611,266528,178541,260029,137166,266026,264080,282391,392975,203894,233156,49693,83629,49047,47172,29099,49237,47848,59212,451569,494732,498012,696994
43,39308,67533,46239,81640,76811,60404,96036,69370,76644,84851,117518,51606,59311,86856,73227,72703,260128,225937,230101,246144,206371,218642,257574,175989,269333,133232,251046,256503,282331,382319,192041,230702,49017,91973,46375,48751,28317,49032,46178,57846,469048,561721,537685,664865
43.5,40272,69568,49366,86825,77380,58271,101670,69355,81404,76006,116258,52509,60769,87084,70274,69226,247664,240588,255720,243431,194191,209684,246433,177417,273673,129867,249617,262697,259056,366187,192657,226568,52046,92649,57815,47188,28089,46747,45935,55713,458341,570012,521661,668194
44,38139,70380,53959,82930,73667,57436,94623,63562,73106,75945,111580,52820,63547,82573,72529,68361,245452,238689,251031,234342,194184,206872,238324,169015,240657,125136,246136,249154,260797,371717,180949,218247,54073,89726,52456,46573,39179,43422,45123,57626,504307,626488,561111,661444
44.5,38959,64739,50847,88192,74381,56798,89688,59448,75786,70843,110851,51560,59949,82862,69811,66948,241956,240360,236887,235254,184094,196030,233680,164130,238286,135039,239160,246076,246911,364165,186754,210018,56525,92680,57436,44774,34018,46694,44789,60366,517863,654313,582340,670532
45,38450,65392,51894,74776,69917,57390,91928,59243,75178,70069,110950,49078,60556,79635,74024,65734,222145,227753,231758,222616,260067,193963,225929,159269,229972,133057,244525,244829,238825,356392,180919,205193,72346,90151,56267,45039,37001,47119,45001,69659,604637,671203,640130,653399
45.5,37365,61528,48713,85375,67472,53678,85178,58590,69628,75239,104434,48220,61399,77562,73242,59395,225998,219584,226560,209296,216021,182932,214205,158502,220922,127870,224873,234691,233293,351936,175290,205474,69917,93036,58013,49738,49518,49070,58089,65954,570537,724564,677626,673595
46,35315,63046,44986,72301,69127,53557,84783,57261,70479,67746,109681,47673,56760,73531,72240,65749,226378,209250,215078,209873,202724,181633,213749,152957,207427,121209,220549,230344,235618,339366,176125,205466,73265,85960,54976,49928,40963,45677,54695,66675,623982,697116,676056,649210
46.5,37456,66212,46125,90159,66091,55811,83667,56700,78899,81343,104070,49700,57170,77896,73994,64967,223467,215717,245080,217707,203886,180957,217069,149607,210542,121809,221104,226203,223414,330858,172395,200923,76385,88579,53033,53572,39597,48061,52889,63729,688094,718940,680795,644022
47,36796,62651,44015,75717,67024,54718,87607,55409,70137,65999,103447,46497,58863,87630,71671,63843,210063,211249,224486,219455,192664,182431,204448,145315,204061,116949,207191,229258,228201,342940,168741,191540,71314,86332,52357,59706,47878,46945,53883,67943,693245,757208,678311,648730
47.5,34632,62462,41904,70904,64056,53162,81677,59220,66774,65886,102931,48144,56760,85147,71496,62181,208643,203673,227343,207184,200315,170937,201857,145186,199920,111922,207389,223353,220344,324531,181261,191228,68201,91601,62196,57337,54642,47324,57755,67002,671653,768474,708119,660788
48,34458,57952,41555,72232,62894,52388,75603,54991,64845,60807,103508,46671,58711,78071,71959,61923,202769,195422,213126,209152,190461,169714,206675,144275,189724,112104,191593,207518,227776,316115,160811,185333,65415,105292,64435,57664,50049,47780,66774,60890,709681,817016,705421,648577
48.5,32818,55530,37638,65681,57770,45882,69302,50399,57140,57109,89635,39779,52380,72187,65164,59554,179719,172380,193173,179210,177569,153754,184444,132738,172684,102293,182697,191798,196190,286268,147609,172099,62477,96567,64238,55713,43400,46907,60457,55705,726660,769709,676643,675142
49,29858,48387,35361,58916,57922,50490,69697,46178,55872,53595,99362,39832,49943,68239,66447,53185,171484,175388,180767,174424,156109,142049,181398,125690,161965,97440,167602,193135,187551,272122,148946,161259,58628,96355,62257,52046,39619,46740,55105,54285,718673,751552,643123,612961
49.5,30397,47651,34276,61239,58810,47795,73667,47074,57891,53329,104047,37524,46755,63464,62097,52600,164860,165566,172350,165961,152007,141806,164358,120564,160325,94137,164837,187019,198568,276424,144989,160948,59083,97365,59007,50915,40978,46945,52646,53124,745424,714596,683469,661078
50,29600,46444,32408,54953,57573,50247,68748,42792,53245,51507,99589,36978,48767,64337,62765,49192,160013,160765,168536,159474,144852,136816,157453,119144,152364,88443,179103,174378,182454,277701,138784,158091,58461,97440,58468,49275,41441,45647,51758,58681,734723,730257,691127,660507
50.5,30435,45282,33046,54612,57163,46687,65309,44447,52684,54126,97319,36272,62674,65901,77327,49845,161920,155494,166789,166622,142839,151202,158213,118369,153640,93401,170124,171195,178321,271712,141108,158410,59668,105269,56502,53010,41343,48114,54953,57671,757833,723071,709613,665900
51,31315,48174,32689,66204,56457,45920,64420,44280,49860,51674,96810,36963,54080,67070,68011,48250,158760,158684,169258,160758,141928,156003,156306,114458,145179,96651,165840,168179,171924,261656,129708,151749,56927,107335,54847,49336,42580,54217,54232,63836,797756,721112,702244,672514
51.5,31475,48174,33539,56381,57254,45965,59926,43627,47150,50968,93629,34200,51530,88503,66341,56692,163112,152433,162292,158866,140948,138047,154331,110585,156420,99255,168962,163887,167382,260957,125022,152843,57633,99476,55356,50922,45905,48144,56912,67753,858615,727445,735211,691614
52,28841,43157,31862,55356,55295,46611,63464,42967,49541,57216,94145,35376,50361,70486,64542,47286,152091,148483,159360,157256,134166,130976,152957,112559,148969,94957,164951,163105,181306,252741,132070,149280,60548,100280,57527,48805,44888,47840,53754,65574,824816,715960,711365,675363
52.5,31793,48015,32074,55956,54642,45419,59896,44288,47043,51985,110615,35634,51446,69340,72141,47150,155646,146485,162657,155425,138670,129054,149204,112704,157491,93302,164647,161601,182233,249191,126214,148300,59539,99840,59372,52152,44728,47324,58818,64139,834242,720571,720861,695158
53,30298,47537,31907,57087,56381,51606,61801,43066,44516,50338,112408,32932,64155,67009,66493,46049,146979,140568,158692,152205,130528,128652,150063,112324,147526,86681,156360,155372,173406,252627,129032,144488,58666,98094,59076,51553,47226,45738,63008,64466,822986,760463,710253,725090
53.5,29494,43734,31968,53746,56616,49442,60989,44257,45115,55120,109810,32818,63821,70987,69294,45723,143523,144541,160629,156390,129753,134394,144434,108011,141404,91017,157841,155949,170344,259535,120776,148817,57686,95254,58370,52585,44569,46163,61353,66098,850928,726622,737124,744022
54,29198,43893,32826,51757,55098,47522,87949,42747,43544,54559,109355,31528,62067,77213,64701,46892,143500,147966,153458,161738,127011,131409,147085,103409,139163,88473,148293,152752,165543,242549,116638,138935,58051,93591,58104,50065,73227,48296,62462,63919,835424,745790,719634,741308
54.5,32150,43301,33008,54749,55584,46421,81442,42808,46489,48987,117245,31323,59865,68558,67047,44743,142042,136756,155129,159892,122128,128606,158145,99164,139224,85527,146265,152136,169281,233437,114898,134204,57823,137583,65346,48372,56069,47431,62788,62348,824207,734555,730791,750721
55,30602,42208,33539,55196,52942,44751,83371,42474,46861,45662,113653,29729,56388,72255,61801,44219,136254,141966,153473,147556,120693,121232,148483,102103,132707,82156,146766,143037,164100,234577,111998,130148,57147,99961,60913,48691,99339,51985,59850,62940,881764,727010,712828,746087
55.5,29023,41343,31998,54559,54817,45730,81594,42291,46778,48091,134439,30913,56897,67358,63380,43992,131583,134485,180957,147564,119994,124801,164009,100144,129586,80820,142763,135928,162588,246136,111808,131720,61103,114238,61740,49989,74070,48964,56844,61543,823307,711655,710077,778697
56,31460,42383,29448,53944,52289,43415,82353,39604,42997,45130,118187,31930,53754,65073,78838,41540,128895,131059,156428,148414,116015,117329,152265,97243,130254,81738,145019,138472,158297,225124,108876,129442,68573,113850,60199,48433,49875,48767,56100,63175,854779,750554,722346,778362
56.5,29532,39589,28757,49693,53063,42663,76082,43195,46186,45927,130004,29069,53253,62864,78086,40659,128090,130748,155972,142604,115415,116615,142794,99453,126951,80356,141951,135244,149652,217388,108292,130915,68072,121437,56912,48159,47916,47894,56525,62568,831862,729846,723368,773551
57,29000,39946,28568,51628,53230,40591,87676,42975,43164,54726,136376,29213,54574,65445,74700,40060,125576,125925,148300,142482,112863,115817,142885,99696,130452,78284,143333,135206,156580,218718,103849,128135,68361,116789,54900,47681,45753,47871,55470,59698,866464,723314,723002,803459
57.5,27695,38625,28575,50201,50072,41138,85603,42428,43142,41760,137356,27839,50976,76051,74533,37843,126875,126579,146075,142961,112354,113349,135069,95998,141024,77509,134059,131295,147913,229524,103447,123495,65794,112104,53390,46284,45829,50976,54050,59964,840075,704972,726965,829041
58,27042,37244,26647,48326,50080,39961,82467,41510,39642,41487,131781,28886,51841,68368,71716,37653,126844,123753,144784,139649,110464,109765,141487,93811,130862,77684,129578,126784,147199,224030,100425,122599,64253,109416,52562,45829,44394,48303,54407,60260,857525,698891,730364,821354
58.5,26875,44075,27695,48903,56441,39635,82551,40067,42193,42716,134675,26625,55151,68816,76165,38405,131454,124490,148407,145460,108565,110638,135366,95261,127034,83097,136361,128151,144708,224083,99233,122591,62940,111549,51773,47362,45297,49829,54225,63137,875067,694799,735470,818869
